city,state,2021_rank,2021_us_news_overall_score,2021_quality_of_life,2021_value,2019_rank,2019_us_news_overall_score,2019_us_news_state_overall_rank,2019_data_scientist_job_postings,city_state,state_name,average_salary_state,hourly_rate_state,job_count_state,average_salary_city,hourly_rate_city,population,population2010,race_white,race_black,race_ameri_es,race_asian,race_hawaiian_pi,race_hispanic,race_other,race_multi,males,females,age_under_5,age_5to9,age_10to14,age_15to19,age_20to24,age_25to34,age_35to44,age_45to54,age_55to64,age_65to74,age_75to84,age_over_85,median_age,household_count,average_household_size,families_count,average_family_size,house_units_count,vacant_house_count,owner_occupied_house,renter_occupied_house,population_growth
Houston,TX,39,6.9,6.3,7.9,76,6.8,38,23,Houston-TX,Texas,87577,42.1,2563,88720,42.65,2333285,2099451,1060491,498466,14997,126378,1153,919668,329436,68530,1053517,1045934,171026,151041,137307,142544,171086,373985,291218,268661,202641,106310,60257,23375,32.2,782643,2.64,481570,3.38,892646,110003,355236,427407,233834
Phoenix,AZ,40,6.8,6.1,6.6,37,6.9,34,15,Phoenix-AZ,Arizona,88333,42.47,831,88469,42.53,1601381,1445632,951958,93608,32366,45597,2555,589877,267214,52334,725020,720612,119911,113260,108732,110352,106757,224128,206387,195144,139018,70456,36981,14506,32.2,514806,2.77,330762,3.42,590149,75343,296742,218064,155749
Knoxville,TN,41,6.8,6.0,7.6,71,6.7,30,6,Knoxville-TN,Tennessee,83521,40.15,551,83521,40.15,188386,178874,136097,30567,631,2943,277,8206,3890,4469,85946,92928,11120,9403,8404,13358,23504,28688,21075,22046,18810,10724,7817,3925,33.0,78048,2.16,39055,2.89,88009,9961,38413,39635,9512
Charleston,SC,42,6.8,6.0,6.2,112,6.7,42,0,Charleston-SC,South Carolina,77818,37.41,423,77818,37.41,139363,120083,84258,30491,271,1971,122,3451,1205,1765,56741,63342,7545,6156,5025,8324,15366,21742,13943,14036,13246,7687,4769,2244,32.7,52341,2.18,26894,2.86,59522,7181,27288,25053,19280
Fort Myers,FL,43,6.8,6.8,5.2,58,6.8,13,1,Fort Myers-FL,Florida,76936,36.99,1801,76936,36.99,78645,62298,34022,20138,394,975,51,12438,4961,1757,31181,31117,4561,3922,3503,3907,4976,9598,8012,7851,6986,4873,2686,1423,35.8,24968,2.37,14316,3.01,35138,10170,10852,14116,16347
Cincinnati,OH,44,6.7,6.6,8.0,72,6.7,39,16,Cincinnati-OH,Ohio,87588,42.11,1164,86664,41.67,309190,296943,146435,133039,759,5481,251,8308,3566,7412,142672,154271,21846,18038,15878,22052,31219,49221,35222,39744,31787,16046,10771,5119,32.7,133420,2.12,62319,3.0,161095,27675,51892,81528,12247
Albany,NY,45,6.7,6.8,7.3,22,6.9,25,1,Albany-NY,New York,102130,49.1,2735,102427,49.24,100742,97856,55783,30110,295,4890,55,8396,3100,3623,47319,50537,5375,4747,4500,8288,15684,16609,10654,11370,9741,5153,3619,2116,30.4,41157,2.13,17848,2.98,46362,5205,15083,26074,2886
Winston-Salem,NC,46,6.7,6.7,7.6,34,6.8,18,1,Winston-Salem-NC,North Carolina,83303,40.05,1788,83965,40.37,244338,229617,117600,79598,991,4581,182,33753,21093,5572,107878,121739,16818,15802,14772,17214,19055,32197,29740,30549,24772,14507,9960,4231,34.7,92337,2.38,55683,3.06,103974,11637,52007,40330,14721
Port St. Lucie,FL,47,6.7,6.5,5.1,42,6.4,13,0,Port St. Lucie-FL,Florida,76936,36.99,1801,76936,36.99,180604,164603,122289,26898,627,3267,114,30250,6433,4975,80003,84600,10180,10992,11998,11164,8331,18843,23158,24406,19517,14436,8550,3028,39.8,60902,2.69,45018,3.08,70877,9975,47541,13361,16001
Asheville,NC,48,6.7,7.0,6.4,28,7.1,18,0,Asheville-NC,North Carolina,83303,40.05,1788,83965,40.37,92066,83393,66143,11134,280,1142,126,5455,2401,2167,39325,44068,4765,4349,3851,4677,6613,13771,10964,10596,10174,6226,4737,2670,38.1,37380,2.12,18452,2.82,41626,4246,18830,18550,8673
